"constructo","familia","n_frases","dim_embedding","modelo","justificacion"
"soledad","Hopper",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos estético-narrativos basados en la estética de Hopper"
"espera","Hopper",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos estético-narrativos basados en la estética de Hopper"
"incomunicacion","Hopper",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos estético-narrativos basados en la estética de Hopper"
"objetos","Hopper",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos estético-narrativos basados en la estética de Hopper"
"emociones_negativas","Hopper",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos estético-narrativos basados en la estética de Hopper"
"luz_sombra","Hopper",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos estético-narrativos basados en la estética de Hopper"
"pasividad","Hopper",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos estético-narrativos basados en la estética de Hopper"
"desconexion","Hopper",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos estético-narrativos basados en la estética de Hopper"
"duda","Hopper",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos estético-narrativos basados en la estética de Hopper"
"espacio","Hopper",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos estético-narrativos basados en la estética de Hopper"
"tristeza","Clínico",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos psicológicos/clínicos relevantes para el estudio de cambio narrativo"
"miedo","Clínico",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos psicológicos/clínicos relevantes para el estudio de cambio narrativo"
"ansiedad_malestar","Clínico",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos psicológicos/clínicos relevantes para el estudio de cambio narrativo"
"esperanza","Clínico",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos psicológicos/clínicos relevantes para el estudio de cambio narrativo"
"confianza","Clínico",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos psicológicos/clínicos relevantes para el estudio de cambio narrativo"
"agencia","Clínico",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos psicológicos/clínicos relevantes para el estudio de cambio narrativo"
"control","Clínico",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos psicológicos/clínicos relevantes para el estudio de cambio narrativo"
"incertidumbre","Clínico",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos psicológicos/clínicos relevantes para el estudio de cambio narrativo"
"evitacion","Clínico",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos psicológicos/clínicos relevantes para el estudio de cambio narrativo"
"afrontamiento","Clínico",5,384,"paraphrase-multilingual-MiniLM-L12-v2","Constructos psicológicos/clínicos relevantes para el estudio de cambio narrativo"
