"constructo","familia","n_frase","frase","modelo_embeddings","dimension"
"soledad","hopper",1,"me siento solo y aislado de los demás","paraphrase-multilingual-MiniLM-L12-v2",384
"soledad","hopper",2,"no tengo compañía y me encuentro apartado","paraphrase-multilingual-MiniLM-L12-v2",384
"soledad","hopper",3,"siento que estoy desconectado de las personas","paraphrase-multilingual-MiniLM-L12-v2",384
"soledad","hopper",4,"me encuentro solo aunque haya otras personas","paraphrase-multilingual-MiniLM-L12-v2",384
"soledad","hopper",5,"la soledad me envuelve y no encuentro consuelo","paraphrase-multilingual-MiniLM-L12-v2",384
"espera","hopper",1,"estoy esperando que algo suceda","paraphrase-multilingual-MiniLM-L12-v2",384
"espera","hopper",2,"siento que estoy detenido mientras espero","paraphrase-multilingual-MiniLM-L12-v2",384
"espera","hopper",3,"permanezco en una situación de espera","paraphrase-multilingual-MiniLM-L12-v2",384
"espera","hopper",4,"no sé cuánto tiempo tendré que esperar","paraphrase-multilingual-MiniLM-L12-v2",384
"espera","hopper",5,"el tiempo se detiene y solo espero","paraphrase-multilingual-MiniLM-L12-v2",384
"incomunicacion","hopper",1,"no logro comunicarme con los demás","paraphrase-multilingual-MiniLM-L12-v2",384
"incomunicacion","hopper",2,"siento que no me escuchan ni me entienden","paraphrase-multilingual-MiniLM-L12-v2",384
"incomunicacion","hopper",3,"estoy aislado sin poder expresar lo que siento","paraphrase-multilingual-MiniLM-L12-v2",384
"incomunicacion","hopper",4,"la comunicación se ha roto y no hay diálogo","paraphrase-multilingual-MiniLM-L12-v2",384
"incomunicacion","hopper",5,"me siento incomunicado y fuera de lugar","paraphrase-multilingual-MiniLM-L12-v2",384
"objetos","hopper",1,"los objetos que me rodean me acompañan","paraphrase-multilingual-MiniLM-L12-v2",384
"objetos","hopper",2,"muebles y pertenencias llenan el espacio","paraphrase-multilingual-MiniLM-L12-v2",384
"objetos","hopper",3,"cada objeto tiene una historia y un significado","paraphrase-multilingual-MiniLM-L12-v2",384
"objetos","hopper",4,"el entorno físico está lleno de cosas cotidianas","paraphrase-multilingual-MiniLM-L12-v2",384
"objetos","hopper",5,"los objetos reflejan mi estado interior","paraphrase-multilingual-MiniLM-L12-v2",384
"emociones_negativas","hopper",1,"siento una profunda tristeza y desesperanza","paraphrase-multilingual-MiniLM-L12-v2",384
"emociones_negativas","hopper",2,"la angustia me invade y no puedo calmarme","paraphrase-multilingual-MiniLM-L12-v2",384
"emociones_negativas","hopper",3,"estoy abrumado por emociones negativas","paraphrase-multilingual-MiniLM-L12-v2",384
