"figura","nombre","pregunta_cientifica","variable_principal","metodo","prioridad","archivo"
"fig1","Evolución de palabras por condición","¿Cómo evoluciona la extensión textual según la condición?","n_palabras","Bootstrap IC","A","fig1_palabras_condicion.png"
"fig2","Evolución de palabras por demora","¿Cómo influye la demora en la extensión textual?","n_palabras","Media ± SE","A","fig2_palabras_demora.png"
"fig3","Evolución emocional","¿Cómo cambian las emociones según condición?","bing, sadness, joy","Media ± SE","A","fig3_emociones.png"
"fig4","TTR por condición","¿Cómo cambia la diversidad léxica?","ttr","Bootstrap IC","A","fig4_ttr.png"
"fig5","Medias marginales estimadas","¿Cuáles son las medias estimadas del modelo mixto?","emmeans","Modelo mixto","A","fig5_modelo_estimado.png"
"fig6","Scores de influencia (exploratorios)","Distribución de scores heurísticos","scores","Boxplot","B","fig6_scores.png"
"fig7","Matriz de correlaciones","Asociaciones entre cambios","variables de cambio","Spearman","A","fig7_correlaciones.png"
"fig8","Cambios T1→T2 y T2→T3","Magnitud de cambios entre tiempos","cambios","Bootstrap IC","A","fig8_cambios.png"
"fig9","Trayectorias individuales","Heterogeneidad de trayectorias individuales","n_palabras","Trayectorias","A","fig9_trayectorias_individuales.png"
"fig10","Interacción condición × tiempo","¿Existe interacción condición × tiempo?","emmeans","Modelo mixto","A","fig10_interaccion_condicion_tiempo.png"
"fig11","Efecto de demora sobre cambios","Efecto de demora sobre cambios","cambio_palabras","Bootstrap IC","B","fig11_efecto_demora.png"
"fig12","Cambio emocional multivariado","Patrón de cambio emocional multivariado","emociones NRC","Heatmap","B","fig12_cambio_emocional_multivariado.png"
"fig13","Evolución de diccionarios temáticos","Evolución de temas Hopper","temas Hopper","Media por tema","B","fig13_diccionarios_tematicos.png"
"fig14","Similitud textual","Similitud textual entre tiempos","coseno, Jaccard","Boxplot","B","fig14_similitud_textual.png"
"fig15","Mapa integrado de cambio","Resumen exploratorio de cambios estandarizados","cambios estandarizados","Heatmap","C","fig15_mapa_integrado_cambio.png"
