archivo,ruta_en_material_piloto,ruta_original_relativa,categoria,rol_canonico,evidencia_de_clasificacion,contiene_datos_estudio_principal,tamano_bytes,fecha_modificacion_original,sha256_origen,sha256_destino,estado
Vaciado Datos piloto Interrelación.xlsx,01_datos_crudos/Vaciado Datos piloto Interrelación.xlsx,Vaciado Datos piloto Interrelación.xlsx,PILOTO_DATO_CRUDO,archivo de la raíz sin clasificar,"Único vaciado crudo rotulado 'piloto' (Hoja1, encabezado fila 4, P1..P17)",NO,23995,2026-08-18 16:36:51,5e77d8a0f6e34f476576cd0f1ff875a1ce8bcd7ecc6367734e289cd473b9d2a5,5e77d8a0f6e34f476576cd0f1ff875a1ce8bcd7ecc6367734e289cd473b9d2a5,VERIFICADO
piloto_interrelacion_formato_largo.xlsx,01_datos_crudos/piloto_interrelacion_formato_largo.xlsx,piloto_interrelacion_formato_largo.xlsx,PILOTO_DATO_CRUDO,archivo de la raíz sin clasificar,Hoja Datos_Largo: 51 filas = 17 participantes x 3 iteraciones; hoja Diccionario la documenta,NO,16859,2026-08-18 16:41:45,be68f6f6e40b8c34319be697e1a6a1c53a4032dabf3a76d1d7e9918881c0b25d,be68f6f6e40b8c34319be697e1a6a1c53a4032dabf3a76d1d7e9918881c0b25d,VERIFICADO
README_DATOS_PILOTO.txt,02_datos_procesados/datos/README_DATOS_PILOTO.txt,Analisis agosto/analisis_piloto/datos/README_DATOS_PILOTO.txt,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Base procesada del piloto,NO,3982,2026-08-24 21:30:26,217154ae1c5c32dc1a8a420344bfd797a1d9d28d4f7255a9067459cb4ba1dc82,217154ae1c5c32dc1a8a420344bfd797a1d9d28d4f7255a9067459cb4ba1dc82,VERIFICADO
ancho_piloto_completo.csv,02_datos_procesados/datos/ancho_piloto_completo.csv,Analisis agosto/analisis_piloto/datos/ancho_piloto_completo.csv,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Base procesada del piloto,NO,77351,2026-08-24 21:26:42,0f1a77ded2a987b531bab3850472dcc8286412f53f9c6cef155f5aac5b9799d6,0f1a77ded2a987b531bab3850472dcc8286412f53f9c6cef155f5aac5b9799d6,VERIFICADO
ancho_piloto_completo.rds,02_datos_procesados/datos/ancho_piloto_completo.rds,Analisis agosto/analisis_piloto/datos/ancho_piloto_completo.rds,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Base procesada del piloto,NO,13891,2026-08-24 21:26:41,6df82c20ce7d61872349d8b1628dfa1adcbceef1367ca69e472e0551b53c9f2e,6df82c20ce7d61872349d8b1628dfa1adcbceef1367ca69e472e0551b53c9f2e,VERIFICADO
embeddings_piloto_t1.rds,02_datos_procesados/datos/embeddings_piloto_t1.rds,Analisis agosto/analisis_piloto/datos/embeddings_piloto_t1.rds,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Base procesada del piloto,NO,50083,2026-08-24 21:26:39,9f78cbfb82d3c5c686e189d3ae42192ac99d36f167dc65e688d2e32949f05b4d,9f78cbfb82d3c5c686e189d3ae42192ac99d36f167dc65e688d2e32949f05b4d,VERIFICADO
embeddings_piloto_t2.rds,02_datos_procesados/datos/embeddings_piloto_t2.rds,Analisis agosto/analisis_piloto/datos/embeddings_piloto_t2.rds,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Base procesada del piloto,NO,50072,2026-08-24 21:26:40,5906bbdbe8fa002daee6c2a1578d204ddf990465e6f28172134dbce0c131e5ee,5906bbdbe8fa002daee6c2a1578d204ddf990465e6f28172134dbce0c131e5ee,VERIFICADO
embeddings_piloto_t3.rds,02_datos_procesados/datos/embeddings_piloto_t3.rds,Analisis agosto/analisis_piloto/datos/embeddings_piloto_t3.rds,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Base procesada del piloto,NO,50067,2026-08-24 21:26:41,c1636e67ed2c3ac35adbbcfcb6df0c1983a6ccd995710dbad8c9a52f9837663c,c1636e67ed2c3ac35adbbcfcb6df0c1983a6ccd995710dbad8c9a52f9837663c,VERIFICADO
piloto_identificacion.csv,02_datos_procesados/datos/piloto_identificacion.csv,Analisis agosto/analisis_piloto/datos/piloto_identificacion.csv,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Base procesada del piloto,NO,560,2026-08-24 21:26:44,cd369c37e8566929010515f1a3eeb0c5d903b0e25b586b02d214ddc04c5dd3e1,cd369c37e8566929010515f1a3eeb0c5d903b0e25b586b02d214ddc04c5dd3e1,VERIFICADO
piloto_longitudinal.csv,02_datos_procesados/datos/piloto_longitudinal.csv,Analisis agosto/analisis_piloto/datos/piloto_longitudinal.csv,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Base procesada del piloto,NO,2987,2026-08-24 21:10:24,9add1c5d8977f90079309c69bea622d05162e6c8babc5e827851cae4eb85ff09,9add1c5d8977f90079309c69bea622d05162e6c8babc5e827851cae4eb85ff09,VERIFICADO
piloto_metricas_linguisticas.csv,02_datos_procesados/datos/piloto_metricas_linguisticas.csv,Analisis agosto/analisis_piloto/datos/piloto_metricas_linguisticas.csv,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Base procesada del piloto,NO,695,2026-08-24 21:26:46,34ee24e29d7890250657dd8abc3957106d11f0c3cda2d81887b5e4900a413493,34ee24e29d7890250657dd8abc3957106d11f0c3cda2d81887b5e4900a413493,VERIFICADO
principal_longitudinal.csv,02_datos_procesados/datos/principal_longitudinal.csv,Analisis agosto/analisis_piloto/datos/principal_longitudinal.csv,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Base procesada del piloto,SI,4200,2026-08-24 21:10:25,930f3a7304c2cf0095686f9d55ac4df9ade9b1a0e8a6b2badcde3d41387d04f6,930f3a7304c2cf0095686f9d55ac4df9ade9b1a0e8a6b2badcde3d41387d04f6,VERIFICADO
README_objetos_piloto.txt,02_datos_procesados/datos_piloto_extra/README_objetos_piloto.txt,Analisis agosto/analisis_piloto/datos_piloto_extra/README_objetos_piloto.txt,PILOTO_DATO_PROCESADO,reporte de ejecución del análisis del piloto,Extracción de objetos del piloto (17 filas),NO,890,2026-08-24 21:13:30,7ffae46881c98b5877e7e1e7d7b4678da96513ae0c0cfeb289c0dd7ac01985ac,7ffae46881c98b5877e7e1e7d7b4678da96513ae0c0cfeb289c0dd7ac01985ac,VERIFICADO
ancho_piloto_completo.csv,02_datos_procesados/datos_piloto_extra/ancho_piloto_completo.csv,Analisis agosto/analisis_piloto/datos_piloto_extra/ancho_piloto_completo.csv,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Extracción de objetos del piloto (17 filas),NO,40191,2026-08-24 21:13:21,e6f6a4cb81ec9b5432df6f47fcdf3a228ec4b07ea04372a11a639c9e8fa14915,e6f6a4cb81ec9b5432df6f47fcdf3a228ec4b07ea04372a11a639c9e8fa14915,VERIFICADO
ancho_piloto_completo.rds,02_datos_procesados/datos_piloto_extra/ancho_piloto_completo.rds,Analisis agosto/analisis_piloto/datos_piloto_extra/ancho_piloto_completo.rds,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Extracción de objetos del piloto (17 filas),NO,9024,2026-08-24 21:13:21,57cd439e8e951d7efb87b8c8066b533ccf3e5388667fe5bf8853a8cc17613540,57cd439e8e951d7efb87b8c8066b533ccf3e5388667fe5bf8853a8cc17613540,VERIFICADO
ancho_piloto_prototipos.csv,02_datos_procesados/datos_piloto_extra/ancho_piloto_prototipos.csv,Analisis agosto/analisis_piloto/datos_piloto_extra/ancho_piloto_prototipos.csv,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Extracción de objetos del piloto (17 filas),NO,1342,2026-08-24 21:13:17,1ce43dd85d2b67110d2a6239ffd2ac3922f1e031254e7f4af8ce4454f712fe23,1ce43dd85d2b67110d2a6239ffd2ac3922f1e031254e7f4af8ce4454f712fe23,VERIFICADO
ancho_piloto_prototipos.rds,02_datos_procesados/datos_piloto_extra/ancho_piloto_prototipos.rds,Analisis agosto/analisis_piloto/datos_piloto_extra/ancho_piloto_prototipos.rds,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Extracción de objetos del piloto (17 filas),NO,486,2026-08-24 21:13:17,0e63329dbca5daf070d017238db56ec499992b3e205db5b2eca1fd0f1fd21467,0e63329dbca5daf070d017238db56ec499992b3e205db5b2eca1fd0f1fd21467,VERIFICADO
ancho_piloto_semantica.csv,02_datos_procesados/datos_piloto_extra/ancho_piloto_semantica.csv,Analisis agosto/analisis_piloto/datos_piloto_extra/ancho_piloto_semantica.csv,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Extracción de objetos del piloto (17 filas),NO,218,2026-08-24 21:13:20,8fcfe3181a083d286b6f54d4ea890726bc64a93e4a366502fe134c0622f9edc5,8fcfe3181a083d286b6f54d4ea890726bc64a93e4a366502fe134c0622f9edc5,VERIFICADO
ancho_piloto_semantica.rds,02_datos_procesados/datos_piloto_extra/ancho_piloto_semantica.rds,Analisis agosto/analisis_piloto/datos_piloto_extra/ancho_piloto_semantica.rds,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Extracción de objetos del piloto (17 filas),NO,215,2026-08-24 21:13:20,5ac3ae1620d3a8f9ceb570474347cb33c5816dd36356cab9eed3aedbd0e5cb0a,5ac3ae1620d3a8f9ceb570474347cb33c5816dd36356cab9eed3aedbd0e5cb0a,VERIFICADO
